model-1592346426,1592346427.932,0.54,0.2486,0.5,0.258
model-1592346426,1592346429.261,0.53,0.254,0.39,0.2508
model-1592346426,1592346430.63,0.42,0.2499,0.41,0.2622
model-1592346426,1592346432.165,0.43,0.2599,0.49,0.2503
model-1592346426,1592346433.672,0.53,0.2483,0.58,0.2487
model-1592346426,1592346435.26,0.56,0.2485,0.53,0.2492
model-1592346426,1592346436.981,0.52,0.2488,0.5,0.2496
model-1592346426,1592346438.376,0.47,0.2496,0.49,0.2491
model-1592346426,1592346439.893,0.46,0.25,0.48,0.2495
model-1592346426,1592346441.315,0.53,0.2491,0.56,0.2487
model-1592346426,1592346442.763,0.41,0.2511,0.61,0.2492
model-1592346426,1592346444.187,0.54,0.2496,0.43,0.2504
model-1592346426,1592346445.988,0.53,0.2497,0.51,0.2495
model-1592346426,1592346447.379,0.61,0.2484,0.48,0.2503
model-1592346426,1592346448.801,0.51,0.2496,0.43,0.2522
model-1592346426,1592346450.569,0.48,0.2507,0.34,0.2558
model-1592346426,1592346452.504,0.51,0.2496,0.55,0.2483
model-1592346426,1592346454.219,0.46,0.2514,0.45,0.2513
model-1592346426,1592346455.834,0.47,0.2507,0.53,0.2493
model-1592346426,1592346457.455,0.59,0.2482,0.58,0.2486
model-1592346426,1592346459.012,0.46,0.2494,0.56,0.2491
model-1592346426,1592346460.596,0.62,0.2488,0.55,0.2475
model-1592346426,1592346462.381,0.53,0.2471,0.65,0.2391
model-1592346426,1592346463.979,0.52,0.2472,0.51,0.2497
model-1592346426,1592346465.636,0.43,0.2581,0.47,0.252
model-1592346426,1592346468.111,0.49,0.25,0.57,0.2472
model-1592346426,1592346470.293,0.63,0.2467,0.63,0.2471
model-1592346426,1592346471.879,0.6,0.2481,0.46,0.2508
model-1592346426,1592346473.438,0.54,0.2484,0.5,0.2496
model-1592346426,1592346474.954,0.54,0.2492,0.62,0.2469
model-1592346426,1592346476.55,0.46,0.2503,0.61,0.2479
model-1592346426,1592346478.096,0.68,0.2456,0.53,0.2495
model-1592346426,1592346479.781,0.57,0.2485,0.51,0.249
model-1592346426,1592346481.377,0.58,0.2469,0.6,0.2419
model-1592346426,1592346483.126,0.46,0.2551,0.51,0.2432
model-1592346426,1592346485.109,0.56,0.2468,0.63,0.2462
model-1592346426,1592346486.654,0.61,0.2404,0.61,0.2469
model-1592346426,1592346488.266,0.6,0.2439,0.6,0.2447
model-1592346426,1592346489.879,0.54,0.2465,0.58,0.2448
model-1592346426,1592346491.497,0.62,0.2446,0.57,0.2455
model-1592346426,1592346493.089,0.47,0.2521,0.55,0.246
model-1592346426,1592346494.866,0.59,0.2443,0.56,0.2457
model-1592346426,1592346496.484,0.61,0.2411,0.59,0.2341
model-1592346426,1592346498.121,0.49,0.2515,0.59,0.2438
model-1592346426,1592346500.193,0.65,0.2411,0.57,0.2457
model-1592346426,1592346501.992,0.63,0.24,0.61,0.239
model-1592346426,1592346503.606,0.62,0.2457,0.61,0.2395
model-1592346426,1592346505.242,0.5,0.2506,0.49,0.2456
model-1592346426,1592346506.823,0.58,0.2435,0.6,0.238
model-1592346426,1592346508.485,0.57,0.2423,0.67,0.2363
model-1592346426,1592346510.016,0.54,0.2453,0.65,0.2366
model-1592346426,1592346511.594,0.63,0.2416,0.57,0.2415
model-1592346426,1592346513.157,0.56,0.2423,0.54,0.2452
model-1592346426,1592346514.826,0.61,0.2396,0.58,0.2355
model-1592346426,1592346516.82,0.56,0.2389,0.56,0.2464
model-1592346426,1592346518.569,0.61,0.2433,0.59,0.2409
model-1592346426,1592346520.179,0.53,0.2514,0.61,0.24
model-1592346426,1592346521.721,0.54,0.2448,0.52,0.2482
model-1592346426,1592346523.337,0.55,0.2494,0.63,0.2392
model-1592346426,1592346524.897,0.61,0.2302,0.62,0.2417
model-1592346426,1592346526.452,0.65,0.2333,0.57,0.2301
model-1592346426,1592346527.992,0.55,0.242,0.52,0.2353
model-1592346426,1592346529.638,0.46,0.2617,0.71,0.2321
model-1592346426,1592346531.074,0.63,0.2316,0.57,0.2392
model-1592346426,1592346532.639,0.62,0.2269,0.42,0.2775
model-1592346426,1592346534.018,0.56,0.2383,0.6,0.2339
model-1592346426,1592346535.32,0.61,0.2405,0.65,0.2351
model-1592346426,1592346536.822,0.64,0.2323,0.61,0.2386
model-1592346426,1592346538.185,0.63,0.2349,0.61,0.2268
model-1592346426,1592346539.495,0.6,0.2312,0.68,0.2242
model-1592346426,1592346540.848,0.68,0.2233,0.68,0.2091
model-1592346426,1592346542.214,0.67,0.2277,0.58,0.2426
model-1592346426,1592346543.547,0.68,0.2211,0.56,0.2463
model-1592346426,1592346544.907,0.63,0.2244,0.57,0.2379
model-1592346426,1592346546.32,0.53,0.2665,0.63,0.2384
model-1592346426,1592346548.074,0.63,0.2282,0.63,0.2234
model-1592346426,1592346549.488,0.6,0.2327,0.61,0.2284
model-1592346426,1592346550.807,0.53,0.2472,0.63,0.2279
model-1592346426,1592346552.114,0.6,0.2302,0.54,0.2617
model-1592346426,1592346553.499,0.57,0.2477,0.55,0.2411
model-1592346426,1592346554.852,0.53,0.2502,0.61,0.2404
model-1592346426,1592346556.217,0.62,0.2419,0.61,0.231
model-1592346426,1592346557.528,0.54,0.2453,0.57,0.2394
model-1592346426,1592346558.851,0.62,0.2299,0.63,0.2314
model-1592346426,1592346560.2,0.64,0.2324,0.66,0.2312
model-1592346426,1592346561.542,0.56,0.2394,0.66,0.2314
model-1592346426,1592346562.956,0.64,0.2262,0.61,0.2581
model-1592346426,1592346564.564,0.64,0.2384,0.61,0.2321
model-1592346426,1592346565.888,0.53,0.2442,0.59,0.2514
model-1592346426,1592346567.258,0.57,0.242,0.6,0.2539
model-1592346426,1592346568.64,0.54,0.2438,0.59,0.2329
model-1592346426,1592346570.04,0.61,0.2389,0.59,0.2421
model-1592346426,1592346571.408,0.58,0.2381,0.65,0.2254
model-1592346426,1592346572.69,0.49,0.2473,0.62,0.2315
model-1592346426,1592346574.013,0.64,0.2323,0.62,0.2415
model-1592346426,1592346575.314,0.54,0.2381,0.6,0.2334
model-1592346426,1592346576.675,0.51,0.2429,0.58,0.2408
model-1592346426,1592346577.987,0.54,0.2572,0.6,0.236
model-1592346426,1592346579.492,0.49,0.2512,0.61,0.2365
model-1592346426,1592346581.048,0.53,0.2447,0.63,0.2366
model-1592346426,1592346582.343,0.65,0.223,0.63,0.2264
model-1592346426,1592346583.676,0.57,0.2393,0.56,0.2346
model-1592346426,1592346584.981,0.56,0.2412,0.44,0.2734
model-1592346426,1592346586.278,0.45,0.2601,0.53,0.236
model-1592346426,1592346587.648,0.54,0.2402,0.62,0.2342
model-1592346426,1592346589.032,0.61,0.236,0.66,0.2306
model-1592346426,1592346590.325,0.54,0.2461,0.63,0.2327
model-1592346426,1592346591.687,0.67,0.2333,0.68,0.2306
model-1592346426,1592346593.009,0.68,0.2346,0.56,0.2441
model-1592346426,1592346594.381,0.62,0.2298,0.61,0.2317
model-1592346426,1592346595.986,0.56,0.2435,0.62,0.2351
model-1592346426,1592346597.455,0.71,0.2225,0.63,0.2366
model-1592346426,1592346598.747,0.65,0.2238,0.67,0.2213
model-1592346426,1592346600.166,0.55,0.231,0.65,0.2198
model-1592346426,1592346601.483,0.56,0.2412,0.68,0.2171
model-1592346426,1592346602.822,0.61,0.2294,0.7,0.2215
model-1592346426,1592346604.186,0.6,0.2263,0.63,0.2257
model-1592346426,1592346605.492,0.66,0.2112,0.62,0.2325
model-1592346426,1592346606.834,0.65,0.2147,0.69,0.2032
model-1592346426,1592346608.217,0.68,0.2089,0.65,0.2177
model-1592346426,1592346609.554,0.56,0.2431,0.62,0.2169
model-1592346426,1592346611.282,0.68,0.2327,0.7,0.2071
model-1592346426,1592346612.83,0.62,0.2225,0.6,0.2369
model-1592346426,1592346614.151,0.65,0.2206,0.62,0.2392
model-1592346426,1592346615.529,0.61,0.2386,0.57,0.2676
model-1592346426,1592346616.9,0.58,0.2442,0.62,0.2169
model-1592346426,1592346618.279,0.64,0.2154,0.67,0.2163
